text,label
"I loved the movie, it was fantastic and thrilling!",positive
Terrible movie. Waste of time.,negative
Great acting and story. Would watch again.,positive
Bad script and poor direction. Not recommended.,negative
Amazing visuals and soundtrack. Highly enjoyable.,positive
The plot was boring and predictable.,negative
Fantastic performances by the lead actors.,positive
Worst movie I have seen this year.,negative
A masterpiece with deep emotional impact.,positive
Poor editing ruined the experience.,negative
